,Movie Name,Genre
0, Red Rocket (2021),"[<span>Comedy</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""metascore favorable"">76        </span>, <span>
<a href=""/name/nm0048918/"">Sean Baker</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt13453006"">
</a>
</span>]"
1, Silent Night (2021),"[<span class=""certRating"">M18</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Horror</span>, <span class=""metascore mixed"">52        </span>, <span>
<a href=""/name/nm0341132/"">Camille Griffin</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11628854"">
</a>
</span>]"
2, Twas the Night (2021),"[<span>Comedy</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm7538473/"">Chris Rodriguez</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm10347930/"">Grant Rosado</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt12994636"">
</a>
</span>]"
3, West Side Story (2021),"[<span class=""certRating"">PG13</span>, <span>Crime</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Musical</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span class=""metascore favorable"">86        </span>, <span>
<a href=""/name/nm0000229/"">Steven Spielberg</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt3581652"">
</a>
</span>]"
4, France (2021),"[<span class=""certRating"">PG13</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""metascore mixed"">53        </span>, <span>
<a href=""/name/nm0241622/"">Bruno Dumont</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt9714030"">
</a>
</span>]"
5, Spider-Man: No Way Home (2021),"[<span class=""certRating"">PG</span>, <span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span class=""metascore favorable"">72        </span>, <span>
<a href=""/name/nm1218281/"">Jon Watts</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10872600"">
</a>
</span>]"
6, The Lost Daughter (2021),"[<span class=""certRating"">M18</span>, <span>Drama</span>, <span class=""metascore favorable"">84        </span>, <span>
<a href=""/name/nm0350454/"">Maggie Gyllenhaal</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt9100054"">
</a>
</span>]"
7, The Matrix Resurrections (2021),"[<span class=""certRating"">PG13</span>, <span>Action</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm0905154/"">Lana Wachowski</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10838180"">
</a>
</span>]"
8, The Tragedy of Macbeth (2021),"[<span>Drama</span>, <span class=""ghost"">|</span>, <span>History</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span class=""ghost"">|</span>, <span>War</span>, <span class=""metascore favorable"">89        </span>, <span>
<a href=""/name/nm0001054/"">Joel Coen</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10095582"">
</a>
</span>]"
9, A Journal for Jordan (2021),"[<span>Drama</span>, <span>
<a href=""/name/nm0000243/"">Denzel Washington</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt0995854"">
</a>
</span>]"
10, Cyrano (2021),"[<span>Drama</span>, <span class=""ghost"">|</span>, <span>Musical</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span class=""metascore favorable"">73        </span>, <span>
<a href=""/name/nm0942504/"">Joe Wright</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt12889404"">
</a>
</span>]"
11, The 355 (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm1334526/"">Simon Kinberg</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt8356942"">
</a>
</span>]"
12, Scream (2022),"[<span class=""certRating"">M18</span>, <span>Horror</span>, <span class=""ghost"">|</span>, <span>Mystery</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm2366012/"">Matt Bettinelli-Olpin</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm2419470/"">Tyler Gillett</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11245972"">
</a>
</span>]"
13, Ryû to sobakasu no hime (2021),"[<span class=""certRating"">PG</span>, <span>Animation</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Music</span>, <span class=""ghost"">|</span>, <span>Musical</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span class=""metascore favorable"">89        </span>, <span>
<a href=""/name/nm0396074/"">Mamoru Hosoda</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt13651628"">
</a>
</span>]"
14, Operation Fortune: Ruse de guerre (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm0005363/"">Guy Ritchie</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt7985704"">
</a>
</span>]"
15, The King's Daughter (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span>
<a href=""/name/nm0573732/"">Sean McNamara</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt2328678"">
</a>
</span>]"
16, Morbius (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Horror</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm1174251/"">Daniel Espinosa</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt5108870"">
</a>
</span>]"
17, Jackass Forever (2022),"[<span>Documentary</span>, <span class=""ghost"">|</span>, <span>Action</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span>
<a href=""/name/nm0871860/"">Jeff Tremaine</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11466222"">
</a>
</span>]"
