,Movie Name,Genre
0, Wolf (2021),"[<span>Drama</span>, <span class=""ghost"">|</span>, <span>Mystery</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span class=""metascore mixed"">52        </span>, <span>
<a href=""/name/nm5461586/"">Nathalie Biancheri</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10698174"">
</a>
</span>]"
1, Flee (2021),"[<span>Documentary</span>, <span class=""ghost"">|</span>, <span>Animation</span>, <span class=""metascore favorable"">90        </span>, <span>
<a href=""/name/nm1853542/"">Jonas Poher Rasmussen</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt8430054"">
</a>
</span>]"
2, Castle Falls (2021),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm0000185/"">Dolph Lundgren</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11377298"">
</a>
</span>]"
3, Agnes (2021),"[<span>Drama</span>, <span class=""ghost"">|</span>, <span>Horror</span>, <span class=""metascore favorable"">64        </span>, <span>
<a href=""/name/nm4285196/"">Mickey Reece</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11348542"">
</a>
</span>]"
4, The Contractor (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm0757975/"">Tarik Saleh</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10323676"">
</a>
</span>]"
5, Nightmare Alley (2021),"[<span class=""certRating"">M18</span>, <span>Crime</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span class=""metascore favorable"">70        </span>, <span>
<a href=""/name/nm0868219/"">Guillermo del Toro</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt7740496"">
</a>
</span>]"
6, The Novice (2021),"[<span>Thriller</span>, <span class=""metascore favorable"">76        </span>, <span>
<a href=""/name/nm4042990/"">Lauren Hadaway</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11131464"">
</a>
</span>]"
7, The King's Man (2021),"[<span class=""certRating"">NC16</span>, <span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Crime</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span class=""metascore mixed"">44        </span>, <span>
<a href=""/name/nm0891216/"">Matthew Vaughn</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt6856242"">
</a>
</span>]"
8, Sing 2 (2021),"[<span class=""certRating"">PG</span>, <span>Animation</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Musical</span>, <span class=""metascore mixed"">51        </span>, <span>
<a href=""/name/nm1134029/"">Garth Jennings</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt6467266"">
</a>
</span>]"
9, American Underdog (2021),"[<span>Biography</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Sport</span>, <span>
<a href=""/name/nm3401779/"">Andrew Erwin</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm2296528/"">Jon Erwin</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11729298"">
</a>
</span>]"
10, Sesame Street (2022),"[<span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Crime</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Musical</span>, <span class=""ghost"">|</span>, <span>Mystery</span>, <span>
<a href=""/name/nm1730037/"">Jonathan Krisel</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt2224162"">
</a>
</span>]"
11, Deep Water,"[<span>Thriller</span>, <span>
<a href=""/name/nm0001490/"">Adrian Lyne</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt2180339"">
</a>
</span>]"
12, Redeeming Love (2022),"[<span>Drama</span>, <span class=""ghost"">|</span>, <span>History</span>, <span class=""ghost"">|</span>, <span>Romance</span>, <span>
<a href=""/name/nm0142286/"">D.J. Caruso</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt11365186"">
</a>
</span>]"
