,id,movie,year,time,rating,score,votes,gross,description,director,star,genre
344,344,Das Cabinet des Dr. Caligari,1920,76 min,8.1,****,"61,216",%^%^%^,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",Robert Wiene,'Werner Krauss' 'Conrad Veidt' 'Friedrich Feher' 'Lil Dagover',"
Horror, Mystery, Thriller            "
208,208,Contratiempo,2016,106 min,8.1,****,"163,932",%^%^%^,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,Oriol Paulo,'Mario Casas' 'Ana Wagener' 'Jose Coronado' 'Bárbara Lennie',"
Crime, Drama, Mystery            "
240,240,Hachi: A Dog's Tale,2009,93 min,8.1,****,"269,838",%^%^%^,A college professor bonds with an abandoned dog he takes into his home.,Lasse Hallström,'Richard Gere' 'Joan Allen' 'Cary-Hiroyuki Tagawa' 'Sarah Roemer',"
Biography, Drama, Family            "
720,720,Badlands,1973,94 min,7.8,93        ,"70,531",%^%^%^,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,Terrence Malick,'Martin Sheen' 'Sissy Spacek' 'Warren Oates' 'Ramon Bieri',"
Action, Crime, Drama            "
567,567,"Aguirre, der Zorn Gottes",1972,95 min,7.9,****,"55,354",%^%^%^,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",Werner Herzog,'Klaus Kinski' 'Ruy Guerra' 'Helena Rojo' 'Del Negro',"
Action, Adventure, Biography            "
327,327,White Heat,1949,114 min,8.1,****,"31,839",%^%^%^,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,Raoul Walsh,"'James Cagney' 'Virginia Mayo' ""Edmond O'Brien"" 'Margaret Wycherly'","
Action, Crime, Drama            "
349,349,Airlift,2016,130 min,8.0,****,"55,590",%^%^%^,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Raja Menon,'Akshay Kumar' 'Nimrat Kaur' 'Kumud Mishra' 'Prakash Belawadi',"
Drama, History            "
474,474,Kind Hearts and Coronets,1949,106 min,8.0,****,"36,392",%^%^%^,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,Robert Hamer,'Dennis Price' 'Alec Guinness' 'Valerie Hobson' 'Joan Greenwood',"
Comedy, Crime            "
443,443,Solaris,1972,167 min,8.0,90        ,"87,764",%^%^%^,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,Andrei Tarkovsky,'Natalya Bondarchuk' 'Donatas Banionis' 'Jüri Järvet' 'Vladislav Dvorzhetskiy',"
Drama, Mystery, Sci-Fi            "
583,583,Harvey,1950,104 min,7.9,****,"54,439",%^%^%^,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",Henry Koster,'James Stewart' 'Wallace Ford' 'William H. Lynn' 'Victoria Horne',"
Comedy, Drama, Fantasy            "
584,584,The Asphalt Jungle,1950,112 min,7.9,****,"25,801",%^%^%^,"A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel.",John Huston,'Sterling Hayden' 'Louis Calhern' 'Jean Hagen' 'James Whitmore',"
Crime, Drama, Film-Noir            "
473,473,In a Lonely Place,1950,94 min,8.0,****,"29,860",%^%^%^,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.",Nicholas Ray,'Humphrey Bogart' 'Gloria Grahame' 'Frank Lovejoy' 'Carl Benton Reid',"
Drama, Film-Noir, Mystery            "
726,726,Bonnie and Clyde,1967,111 min,7.8,86        ,"109,071",%^%^%^,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",Arthur Penn,'Warren Beatty' 'Faye Dunaway' 'Michael J. Pollard' 'Gene Hackman',"
Action, Biography, Crime            "
607,607,Udta Punjab,2016,148 min,7.8,****,"29,163",%^%^%^,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,Abhishek Chaubey,'Shahid Kapoor' 'Alia Bhatt' 'Kareena Kapoor' 'Diljit Dosanjh',"
Action, Crime, Drama            "
937,937,Celda 211,2009,113 min,7.6,****,"66,229",%^%^%^,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",Daniel Monzón,'Luis Tosar' 'Alberto Ammann' 'Antonio Resines' 'Manuel Morón',"
Action, Adventure, Crime            "
774,774,Kokuhaku,2010,106 min,7.7,****,"37,815",%^%^%^,A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.,Tetsuya Nakashima,'Takako Matsu' 'Yoshino Kimura' 'Masaki Okada' 'Yukito Nishii',"
Drama, Thriller            "
87,87,Sunset Blvd.,1950,110 min,8.4,****,"213,350",%^%^%^,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Billy Wilder,'William Holden' 'Gloria Swanson' 'Erich von Stroheim' 'Nancy Olson',"
Drama, Film-Noir            "
605,605,Perfetti sconosciuti,2016,96 min,7.8,****,"61,725",%^%^%^,"Seven long-time friends meet for dinner. They decide to share their text messages, emails and phone calls. Secrets are unveiled. Harmony trembles.",Paolo Genovese,'Giuseppe Battiston' 'Anna Foglietta' 'Marco Giallini' 'Edoardo Leo',"
Comedy, Drama            "
187,187,Anand,1971,122 min,8.2,****,"33,050",%^%^%^,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",Hrishikesh Mukherjee,'Rajesh Khanna' 'Amitabh Bachchan' 'Sumita Sanyal' 'Ramesh Deo',"
Drama, Musical            "
568,568,Harold and Maude,1971,91 min,7.9,62        ,"75,491",%^%^%^,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",Hal Ashby,'Ruth Gordon' 'Bud Cort' 'Vivian Pickles' 'Cyril Cusack',"
Comedy, Drama, Romance            "
449,449,Rosemary's Baby,1968,137 min,8.0,96        ,"206,455",%^%^%^,"A young couple trying for a baby move into an aging, ornate apartment building on Central Park West, but find themselves surrounded by peculiar neighbors.",Roman Polanski,'Mia Farrow' 'John Cassavetes' 'Ruth Gordon' 'Sidney Blackmer',"
Drama, Horror            "
991,991,Where Eagles Dare,1968,158 min,7.6,63        ,"56,291",%^%^%^,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.",Brian G. Hutton,'Richard Burton' 'Clint Eastwood' 'Mary Ure' 'Patrick Wymark',"
Action, Adventure, War            "
884,884,Love and Death,1975,85 min,7.7,89        ,"37,710",%^%^%^,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",Woody Allen,'Woody Allen' 'Diane Keaton' 'Georges Adet' 'Frank Adu',"
Comedy, War            "
